,mode,dest_type,region,duration,suburb
0,walking,doctor,Auckland,13.063885267275097,Point Chevalier East
0,walking,primary_school,Auckland,8.289439374185138,Point Chevalier East
0,walking,greenspace,Auckland,2.5208604954367666,Point Chevalier East
0,walking,all,Auckland,14.001955671447197,Point Chevalier East
0,walking,supermarket,Auckland,10.588546255506609,Dingwall
0,walking,ece,Auckland,4.762114537444934,Dingwall
0,walking,pharmacy,Auckland,10.555947136563876,Dingwall
0,walking,doctor,Auckland,10.604405286343612,Dingwall
0,walking,primary_school,Auckland,13.297797356828195,Dingwall
0,walking,greenspace,Auckland,2.202643171806167,Dingwall
0,walking,all,Auckland,14.023788546255506,Dingwall
0,walking,supermarket,Auckland,20.572200772200773,Waiake
0,walking,ece,Auckland,7.0996138996138995,Waiake
0,walking,pharmacy,Auckland,14.894980694980696,Waiake
0,walking,doctor,Auckland,8.217760617760618,Waiake
0,walking,primary_school,Auckland,7.397683397683398,Waiake
0,walking,greenspace,Auckland,3.443243243243243,Waiake
0,walking,all,Auckland,20.572200772200773,Waiake
0,walking,supermarket,Auckland,24.601222826086957,Awaruku
0,walking,ece,Auckland,8.419836956521738,Awaruku
0,walking,pharmacy,Auckland,18.92798913043478,Awaruku
0,walking,doctor,Auckland,17.940217391304348,Awaruku
0,walking,primary_school,Auckland,12.014945652173912,Awaruku
0,walking,greenspace,Auckland,3.735733695652174,Awaruku
0,walking,all,Auckland,25.613451086956523,Awaruku
0,walking,supermarket,Auckland,9.802710843373495,Beach Haven East
0,walking,ece,Auckland,6.182981927710843,Beach Haven East
0,walking,pharmacy,Auckland,12.232680722891565,Beach Haven East
0,walking,doctor,Auckland,11.289156626506024,Beach Haven East
0,walking,primary_school,Auckland,9.064759036144578,Beach Haven East
0,walking,greenspace,Auckland,3.4457831325301207,Beach Haven East
0,walking,all,Auckland,14.279367469879517,Beach Haven East
0,walking,supermarket,Auckland,33.46806482364156,Albany Heights
0,walking,ece,Auckland,17.836034318398475,Albany Heights
0,walking,pharmacy,Auckland,22.620591039084843,Albany Heights
0,walking,doctor,Auckland,33.83508102955195,Albany Heights
0,walking,primary_school,Auckland,30.77025738798856,Albany Heights
0,walking,greenspace,Auckland,4.540514775977121,Albany Heights
0,walking,all,Auckland,36.07816968541468,Albany Heights
0,walking,supermarket,Auckland,45.41125121241513,Greenhithe East
0,walking,ece,Auckland,15.406401551891367,Greenhithe East
0,walking,pharmacy,Auckland,26.12415130940834,Greenhithe East
0,walking,doctor,Auckland,22.711930164888457,Greenhithe East
0,walking,primary_school,Auckland,9.39282250242483,Greenhithe East
0,walking,greenspace,Auckland,2.627546071774976,Greenhithe East
0,walking,all,Auckland,45.41125121241513,Greenhithe East
0,walking,supermarket,Auckland,9.677233429394812,New Lynn North West
0,walking,ece,Auckland,4.108549471661863,New Lynn North West
0,walking,pharmacy,Auckland,9.478386167146974,New Lynn North West
0,walking,doctor,Auckland,10.621517771373679,New Lynn North West
0,walking,primary_school,Auckland,13.467819404418828,New Lynn North West
0,walking,greenspace,Auckland,4.709894332372719,New Lynn North West
0,walking,all,Auckland,13.85014409221902,New Lynn North West
0,walking,supermarket,Auckland,27.218604651162792,Albany Central
0,walking,ece,Auckland,22.167441860465118,Albany Central
0,walking,pharmacy,Auckland,23.488372093023255,Albany Central
0,walking,doctor,Auckland,29.162790697674417,Albany Central
0,walking,primary_school,Auckland,30.516279069767442,Albany Central
0,walking,greenspace,Auckland,19.697674418604652,Albany Central
0,walking,all,Auckland,33.04186046511628,Albany Central
0,walking,supermarket,Auckland,32.01229823212913,Fairview Heights
0,walking,ece,Auckland,11.621829362029208,Fairview Heights
0,walking,pharmacy,Auckland,17.96694850115296,Fairview Heights
0,walking,doctor,Auckland,16.023827824750192,Fairview Heights
0,walking,primary_school,Auckland,14.650269023827825,Fairview Heights
0,walking,greenspace,Auckland,5.188316679477325,Fairview Heights
0,walking,all,Auckland,32.3097617217525,Fairview Heights
0,walking,supermarket,Auckland,23.497201492537314,Oteha East
0,walking,ece,Auckland,5.699626865671642,Oteha East
0,walking,pharmacy,Auckland,14.353544776119403,Oteha East
0,walking,doctor,Auckland,13.844216417910447,Oteha East
0,walking,primary_school,Auckland,8.569962686567164,Oteha East
0,walking,greenspace,Auckland,0.9701492537313433,Oteha East
0,walking,all,Auckland,24.012126865671643,Oteha East
0,walking,supermarket,Auckland,15.097318007662835,Hillcrest East (Auckland)
0,walking,ece,Auckland,4.678927203065134,Hillcrest East (Auckland)
0,walking,pharmacy,Auckland,10.883524904214559,Hillcrest East (Auckland)
0,walking,doctor,Auckland,15.144827586206896,Hillcrest East (Auckland)
0,walking,primary_school,Auckland,8.876628352490421,Hillcrest East (Auckland)
0,walking,greenspace,Auckland,2.646743295019157,Hillcrest East (Auckland)
