,dest_type,lon,lat
151,pharmacy,174.765789000143,-41.25703540127077
152,pharmacy,174.7570023003502,-36.7811030012411
153,pharmacy,174.7570023003502,-36.7811030012411
154,pharmacy,174.7422933000674,-36.90342440105592
155,pharmacy,174.8961581001614,-36.97690130051177
156,pharmacy,173.0114086996124,-41.11036820097269
157,pharmacy,174.8096143003063,-36.898139101132
158,pharmacy,174.8007395994233,-41.22941070118603
159,pharmacy,174.9043256996385,-36.96446300063809
160,pharmacy,174.8397240003252,-41.13751500110556
161,pharmacy,174.8743143000498,-36.95986710091438
162,pharmacy,176.9027485004643,-39.50044370055075
163,pharmacy,176.2482189001706,-38.13760940046924
164,pharmacy,172.7303858003896,-43.15681770102283
165,pharmacy,175.4751589005184,-37.90611020095611
166,pharmacy,176.2512488999796,-38.13860700098979
167,pharmacy,170.4781982003197,-45.85737350085233
168,pharmacy,174.6215909999493,-36.86208000045948
169,pharmacy,172.6567123004286,-43.38309720136261
170,pharmacy,174.7978834995389,-36.97116120094831
171,pharmacy,172.6624516002125,-43.50695410097408
172,pharmacy,176.8769683998978,-39.67078940057211
173,pharmacy,170.3479675994308,-45.87504810117046
174,pharmacy,174.2995600002311,-39.43139500059181
175,pharmacy,175.2733615994562,-37.78359100102748
176,pharmacy,176.1328391996591,-37.72562080116234
177,pharmacy,176.9168696004385,-39.4906483004786
178,pharmacy,173.2823017997418,-41.27407080101529
179,pharmacy,174.6301147995266,-36.86461410106686
180,pharmacy,174.6301147995266,-36.86461410106686
181,pharmacy,173.9352022000937,-41.50975760103515
182,pharmacy,175.2812292003327,-37.80308080049515
183,pharmacy,173.2865994004456,-41.27496720098357
184,pharmacy,176.1829018003177,-37.63749970101033
185,pharmacy,175.6613837997964,-40.94997990068293
186,pharmacy,170.7157844004344,-45.48472760074907
187,pharmacy,174.8744736004567,-36.96116750088736
188,pharmacy,170.5074181997512,-45.87200410058657
189,pharmacy,174.8593831005374,-36.97058240125814
190,pharmacy,170.498678699428,-45.89289880133735
191,pharmacy,172.6365031998939,-43.55787490076351
192,pharmacy,176.8560783995172,-39.52933890093239
193,pharmacy,172.6300143996035,-43.50930410121249
194,pharmacy,176.1323120003424,-37.72710010106593
195,pharmacy,176.9186717004978,-39.49072060094296
196,pharmacy,174.7608283995063,-36.85068580054583
197,pharmacy,174.8560974999016,-36.90034530086738
198,pharmacy,175.2635712997009,-37.77010250121083
199,pharmacy,174.855500500529,-36.90040000045788
200,pharmacy,173.5101878005258,-34.99157720075291
201,pharmacy,174.7665236004743,-36.77324630112975
202,pharmacy,174.6230708001953,-36.83286340086334
203,pharmacy,174.7078010998782,-36.88074040133311
204,pharmacy,174.9055786005789,-41.22616090050232
205,pharmacy,174.7795880996825,-41.31219160089664
206,pharmacy,174.7067007996535,-36.7299633010057
207,pharmacy,174.9058724003028,-37.19947620045544
208,pharmacy,175.0382826003039,-39.91892100074923
209,pharmacy,174.6145539995096,-36.82076090124712
210,pharmacy,175.2923840996826,-37.7896314008473
211,pharmacy,174.7478797996484,-36.71646850113579
212,pharmacy,174.8731575004371,-36.9613472008587
213,pharmacy,172.6032909004892,-43.48040480126932
214,pharmacy,175.1434814002083,-37.40376020103157
215,pharmacy,172.609309700099,-43.53725830059259
216,pharmacy,176.3264178998787,-37.78579590104184
217,pharmacy,173.9600570998484,-41.51485040082743
218,pharmacy,169.6873893003467,-45.91281300136336
219,pharmacy,174.8653416999359,-41.14120830063755
220,pharmacy,174.7756255000765,-41.28181240136161
221,pharmacy,174.7735968002164,-41.3346575007531
222,pharmacy,175.053296000558,-39.90942510065373
223,pharmacy,173.2693237995988,-41.28071420081761
224,pharmacy,174.7897392997875,-36.80787020052907
225,pharmacy,175.2826120001475,-37.81734190104431
226,pharmacy,174.3540681999886,-36.11033700103722
227,pharmacy,168.3594000999781,-46.43692030050654
